Price,Close,Close,Dividends,Dividends,High,High,Low,Low,Open,Open,Stock Splits,Stock Splits,Volume,Volume
Ticker,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA,AAPL,NVDA
Date,,,,,,,,,,,,,,
2015-01-29,26.478355407714844,0.4747430980205536,0.0,0.0,26.54293696542176,0.47738320672801743,25.734555483627332,0.46154244003675055,25.903803645237765,0.46370256019189837,0.0,0.0,337745600,235340000
2015-01-30,26.090869903564453,0.4608224332332611,0.0,0.0,26.723321018811966,0.47690322397253204,26.021833502263554,0.4601024217412174,26.367010411699074,0.47138295465991836,0.0,0.0,334982000,298200000
2015-02-02,26.418235778808594,0.47090286016464233,0.0,0.0,26.53849095740983,0.47282295725537,25.850366084274526,0.45458207781088494,26.2890743194429,0.46370251753312747,0.0,0.0,250956400,259604000
2015-02-03,26.422683715820312,0.48266348242759705,0.0,0.0,26.5206680698437,0.483143528232667,26.191081398907162,0.4718629668227301,26.389279225097873,0.4742630814015894,0.0,0.0,207662800,183468000
2015-02-04,26.625335693359375,0.4838635325431824,0.0,0.0,26.836896343295066,0.48938380138861654,26.34696775846218,0.4797833151715872,26.389280228253927,0.48122342386866723,0.0,0.0,280598800,181516000
2015-02-05,26.815372467041016,0.49178388714790344,0.1175,0.0,26.88020890532146,0.4920238814070888,26.661106399900362,0.4838635043624093,26.83325702823042,0.48434349288078005,0.0,0.0,168984800,140448000
2015-02-06,26.589561462402344,0.48962393403053284,0.0,0.0,26.884678026144194,0.4970643308336652,26.4822455729834,0.4874638132918888,26.833255438234904,0.4913040088639479,0.0,0.0,174826400,210524000
2015-02-09,26.76618766784668,0.4891437292098999,0.0,0.0,26.793015364080535,0.49058375184276704,26.477777993233946,0.4836234612436746,26.5046073951962,0.48674361519081205,0.0,0.0,155559200,273944000
2015-02-10,27.280406951904297,0.5028243660926819,0.0,0.0,27.3094725657908,0.503064360324135,26.864562280177072,0.4874635908150545,26.866796784531022,0.4896237105678267,0.0,0.0,248034000,226204000
2015-02-11,27.919824600219727,0.4994642436504364,0.0,0.0,27.92876773418781,0.5040244203987654,27.387720922081506,0.49610403812109655,27.4480849442056,0.5040244203987654,0.0,0.0,294247200,320832000
2015-02-12,28.273073196411133,0.5352261066436768,0.0,0.0,28.501118868281466,0.5400263361650618,28.074093138918936,0.5249056074503741,28.18364355461352,0.5280257623615993,0.0,0.0,297898000,676904000
2015-02-13,28.41168785095215,0.5354660153388977,0.0,0.0,28.456401816821888,0.5361860553743056,28.091978048370983,0.5258655578311128,28.456401816821888,0.5340259352680818,0.0,0.0,217088800,310084000
2015-02-17,28.57937240600586,0.5371460914611816,0.0,0.0,28.814125029128633,0.5397862573408435,28.375919905202288,0.5311458341105443,28.50335660485298,0.5345059828047605,0.0,0.0,252609600,203340000
2015-02-18,28.778343200683594,0.530906081199646,0.0,0.0,28.791757047141328,0.5373864451843855,28.494404275321486,0.5299460463504052,28.53464752042288,0.5364263531118718,0.0,0.0,179566800,170948000
2015-02-19,28.717985153198242,0.532345712184906,0.0,0.0,28.847658056030365,0.5385860192660228,28.691157453114794,0.5299455984785707,28.724692078219103,0.5376259852281335,0.0,0.0,149449600,169432000
2015-02-20,28.95273208618164,0.536186158657074,0.0,0.0,28.95273208618164,0.5364261529740253,28.628551598396026,0.5280257796482132,28.755986560261935,0.5318659748356922,0.0,0.0,195793600,157752000
2015-02-23,29.7352352142334,0.5318658947944641,0.0,0.0,29.7352352142334,0.5359460836848612,28.988501554670574,0.5292257288123154,29.068988042084644,0.5359460836848612,0.0,0.0,283896400,125008000
2015-02-24,29.54966926574707,0.5375277996063232,0.0,0.002125,29.869380713877174,0.5375277996063232,29.326096067024803,0.5290950827007455,29.72182158397097,0.5339137944878115,0.0,0.0,276912400,149356000
2015-02-25,28.793991088867188,0.5334318280220032,0.0,0.0,29.42223465002308,0.5377687025086204,28.650904376520867,0.5310224724550718,29.413289811557256,0.5353592894981212,0.0,0.0,298846800,123820000
